💖央视,#genre#
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225491/index.m3u8?fmt=ts2hls 
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8 
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8 
浙江卫视,http://yd-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8 
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8 
浙江卫视,http://yd-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8 
浙江卫视,http://39.134.67.226/PLTV/88888888/224/3221225880/index.m3u8 
浙江卫视,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/1.m3u8 
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8 
江苏卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225702/index.m3u8 
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225488/index.m3u8?fmt=ts2hls 
江苏卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225743/index.m3u8 
江苏卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221226211/index.m3u8 
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225743/index.m3u8 
江苏卫视,http://39.135.32.26:6610/000000001000/1000000001000001828/index.m3u8?i 
江苏卫视,http://39.134.65.208/PLTV/88888888/224/3221225503/index.m3u8 
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225488/index.m3u8?fmt=ts2hls 
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8 
江苏卫视,http://117.148.179.175/TVOD/88888888/224/3221231447/index.m3u8 
深圳卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225700/index.m3u8 
深圳卫视,http://222.132.191.125:9901/tsfile/live/0126_1.m3u8 
深圳卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225741/index.m3u8 
北京卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225674/index.m3u8 
北京卫视,http://39.135.138.59:18890/PLTV/88888888/224/3221225674/index.m3u8 
北京卫视,http://222.132.191.125:9901/tsfile/live/0122_1.m3u8 
北京卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225673/index.m3u8 
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8 
北京卫视,http://183.207.249.7/PLTV/3/224/3221225574/index.m3u8 
北京卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221226146/index.m3u8 
北京卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225673/index.m3u8 
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225673/index.m3u8 
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls 
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8 
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8 
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8 
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8 
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8 
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8 
重庆卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225692/index.m3u8 
重庆卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225734/index.m3u8 
重庆卫视,http://39.135.138.60:18890/TVOD/88888910/224/3221225734/index.m3u8 
重庆卫视,http://183.196.25.171:808/hls/43/index.m3u8 
重庆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225734/index.m3u8 
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8 
重庆卫视,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000341/index.m3u8 
重庆卫视,http://39.135.32.10:6610/000000001000/HD-8000k-1080P-chongqingstv/1.m3u8?IASHttpSessionId=OTT 
重庆卫视,http://39.135.138.60:18890/TVOD/88888910/224/3221225692/index.m3u8 
重庆卫视,http://182.151.211.171:808/hls/63/index.m3u8 
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8 
天津卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225698/index.m3u8 
天津卫视,http://222.132.191.125:9901/tsfile/live/0135_1.m3u8 
天津卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225739/index.m3u8 
天津卫视,http://39.136.48.4:8089/PLTV/88888888/224/3221226485/index.m3u8 
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8 
四川卫视,http://39.136.48.2:8089/PLTV/88888888/224/3221226327/index.m3u8 
四川卫视,http://39.134.65.141/PLTV/88888888/224/3221225861/index.m3u8 
四川卫视,http://39.134.65.142/PLTV/88888888/224/3221225861/index.m3u8 
四川卫视,http://39.134.65.173/PLTV/88888888/224/3221225861/1.m3u8 
四川卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1&IASHttpSessionId=OTT 
四川卫视,http://39.136.48.6:8089/PLTV/88888888/224/3221226327/index.m3u8 
四川卫视,http://39.136.48.2:8089/PLTV/88888888/224/3221226327/index.m3u8 
四川卫视,http://39.136.48.6:8089/PLTV/88888888/224/3221226327/index.m3u8 
山东卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225697/index.m3u8 
山东卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225738/index.m3u8 
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8 
山东卫视,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8 
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225738/index.m3u8 
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8 
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8 
山东卫视,http://39.134.67.226/PLTV/88888888/224/3221225857/index.m3u8 
山东卫视,http://111.20.33.93/TVOD/88888893/224/3221226209/index.m3u8 
山西卫视,http://218.204.51.252:9901/tsfile/live/1043_1.m3u8 
山西卫视,http://111.59.189.40:8445/tsfile/live/0118_1.m3u8 
山西卫视,http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000133 
陕西卫视,http://61.164.158.23:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://hor99.supersky.club:8000/udp/239.111.205.35:5140 
陕西卫视,http://122.228.87.30:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://122.228.87.14:80/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://122.228.87.26:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://119.167.231.18/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://61.164.158.154:80/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
陕西卫视,http://61.164.158.161:80/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8 
黑龙江卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225690/index.m3u8 黑龙江卫视,http://39.136.48.5:8089/PLTV/88888888/224/3221226148/index.m3u8 
黑龙江卫视,http://39.135.34.144:8080/000000001000/1000000001000009082/index.m3u8?test/PLTV/=02 
黑龙江卫视,http://61.160.152.2/live.aishang.ctlcdn.com/00000110240131_1/playlist.m3u8?CONTENTID=00000110240131_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR 
黑龙江卫视,http://39.135.138.58:18890/TVOD/88888888/224/3221225736/index.m3u8 
黑龙江卫视,http://39.135.32.22:6610/000000001000/1000000001000001925/index.m3u8? 
黑龙江卫视,http://sd.jilu8.cn/3221226148/index.m3u8 
黑龙江卫视,http://111.63.117.13:6060/030000001000/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ.m3u8 
黑龙江卫视,http://39.136.48.99:8089/PLTV/88888888/224/3221226148/index.m3u8 
黑龙江卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000095 
黑龙江卫视,http://183.207.249.36:80/PLTV/4/224/3221227323/index.m3u8? 
黑龙江卫视,http://39.136.48.7:8089/PLTV/88888888/224/3221226148/index.m3u8 
黑龙江卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221226148/index.m3u8 
辽宁卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225696/index.m3u8 
辽宁卫视,http://222.132.191.125:9901/tsfile/live/0121_1.m3u8 
辽宁卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225735/index.m3u8 
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8 
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8 
辽宁卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221225789/index.m3u8 
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225735/index.m3u8 
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8 
辽宁卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225696/index.m3u8 
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225601/index.m3u8?fmt=ts2hls 
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8 
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8 
辽宁卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225696/index.m3u8 
辽宁卫视,http://111.20.33.93/TVOD/88888893/224/3221226210/index.m3u8 
吉林卫视,http://39.136.48.8:8089/PLTV/88888888/224/3221226507/index.m3u8 
吉林卫视,http://39.134.65.177/PLTV/88888888/224/3221225872/1.m3u8? 
吉林卫视,http://183.196.25.171:808/hls/47/index.m3u8 
吉林卫视,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000363/index.m3u8?IASHttpSessionId=OTT 
吉林卫视,http://stream4.jlntv.cn:80/jlwshd/playlist.m3u8? 
吉林卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1&IASHttpSessionId=OTT 
江西卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225705/index.m3u8 
江西卫视,http://182.151.211.171:808/hls/60/index.m3u8 
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8 
江西卫视,http://39.136.48.5:8089/PLTV/88888888/224/3221226312/index.m3u8 
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8?icpid=88888888&from=30&hms_devid=1452 
江西卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225705/index.m3u8 
江西卫视,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225705/index.m3u8 
江西卫视,http://39.135.34.144:8080/000000001000/1000000001000013731/index.m3u8?test/PLTV/=02 
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8 
江西卫视,http://39.134.116.30:8080/PLTV/88888910/224/3221225705/index.m3u8 
江西卫视,http://39.134.65.173/PLTV/88888888/224/3221225884/1.m3u8 
江西卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225746/index.m3u8 
吉林卫视,http://39.134.66.110/PLTV/88888888/224/3221225981/index.m3u8 
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8 
吉林卫视,http://39.134.65.141/PLTV/88888888/224/3221225981/1.m3u8 
吉林卫视,http://39.134.65.151/PLTV/88888888/224/3221225981/1.m3u8 
吉林卫视,http://39.134.65.145/PLTV/88888888/224/3221225981/1.m3u8 
湖北卫视,http://117.148.179.142/TVOD/88888888/224/3221231888/index.m3u8 
湖北卫视,http://222.132.191.125:9901/tsfile/live/0132_1.m3u8 
湖北卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225740/index.m3u8 
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8 
湖北卫视,http://39.135.32.27:6610/000000001000/1000000001000010355/index.m3u8?i 
河南卫视,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000358/index.m3u8?IASHttpSessionId=OTT 
河南卫视,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000358/index.m3u8 
河南卫视,http://39.135.32.10:6610/000000001000/SD-4000k-576P-henanstv/1.m3u8?IASHttpSessionId=OTT 
河北卫视,http://39.136.48.2:8089/PLTV/88888888/224/3221225779/index.m3u8 
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8 
河北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls 
河北卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1&IASHttpSessionId=OTT 
河北卫视,http://39.134.65.177/PLTV/88888888/224/3221225867/1.m3u8 
河北卫视,http://39.136.48.5:8089/PLTV/88888888/224/3221225779/index.m3u8 
河北卫视,http://39.136.48.8:8089/PLTV/88888888/224/3221225779/index.m3u8 
贵州卫视,http://39.136.48.2:8089/PLTV/88888888/224/3221225777/index.m3u8 
贵州卫视,http://39.136.48.5:8089/PLTV/88888888/224/3221225777/index.m3u8 
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8 
贵州卫视,http://39.134.65.141/PLTV/88888888/224/3221225974/1.m3u8 
贵州卫视,http://39.134.65.151/PLTV/88888888/224/3221225974/1.m3u8 
贵州卫视,http://39.134.65.145/PLTV/88888888/224/3221225974/1.m3u8 
广东卫视,http://222.132.191.125:9901/tsfile/live/0125_1.m3u8 
广东卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225742/index.m3u8 
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8 
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225742/index.m3u8 
广东卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221226213/index.m3u8 
广东卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225742/index.m3u8 
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8 
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8 
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8 
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8 
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8 
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8 
广西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls 
广西卫视,http://111.59.63.32:9901/tsfile/live/1003_1.m3u8 
广西卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1&IASHttpSessionId=OTT 
广西卫视,http://183.196.25.171:808/hls/46/index.m3u8 
甘肃卫视,http://39.136.48.26:8089/PLTV/88888888/224/3221226387/index.m3u8 
甘肃卫视,http://39.134.32.102:6610/270000001111/1110000322/index.m3u8?IASHttpSessionId=OTT 
甘肃卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1&IASHttpSessionId=OTT 
甘肃卫视,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000349/index.m3u8 
甘肃卫视,http://39.134.32.101:6610/270000001111/1110000158/index.m3u8?IASHttpSessionId=OTT 
甘肃卫视,http://39.134.35.199/PLTV/88888888/224/3221226240/index.m3u8 
甘肃卫视,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000349/index.m3u8?IASHttpSessionId=OTT 
甘肃卫视,http://39.136.48.26:8089/PLTV/88888888/224/3221226387/1.m3u8 
东南卫视,http://39.134.66.110/PLTV/88888888/224/3221225863/index.m3u8 
东南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8 
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8?icpid=88888888&from=30&hms_devid=1452 
东南卫视,http://182.151.211.171:808/hls/61/index.m3u8 
东南卫视,http://39.134.65.175/PLTV/88888888/224/3221225863/1.m3u8 
东南卫视,http://39.135.32.22:6610/000000001000/1000000002000009263/index.m3u8? 
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8 
东南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8 
安徽卫视,http://39.135.138.59:18890/TVOD/88888910/224/3221225691/index.m3u8 
安徽卫视,http://111.59.189.40:8445/tsfile/live/0130_1.m3u8 
安徽卫视,http://222.132.191.125:9901/tsfile/live/0130_1.m3u8 
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225737/index.m3u8 
安徽卫视,http://39.134.65.141/PLTV/88888888/224/3221225925/1.m3u8 
宁夏卫视,http://218.204.51.252:9901/tsfile/live/1049_1.m3u8 
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578 
青海卫视,http://218.204.51.252:9901/tsfile/live/1050_1.m3u8 
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484 
青海卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R622FED72U319A204BK783FE086IC0841C75P2BF4M35E8673V0Z339C9W16DC6A07EDEFF7E9&playtoken=31608RMZHGPUCXX10&auth=no&programid=4200000111 
南方卫视,https://zqy-live.nanyuecloud.com/qingyuandianshi/qingyuandianshistream.m3u8?auth_key=601634549257-0-0-73ab89e29b6bf8ef7b5144cf0c04935a 
厦门卫视,http://39.135.55.72:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT 
兵团卫视,http://111.59.189.40:8445/tsfile/live/0115_1.m3u8 
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/chunklist_w1179863659.m3u8 
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/chunklist_w588330955.m3u8 
兵团卫视,http://111.59.189.40:8445/tsfile/live/0115_1.m3u8 
西藏卫视,http://218.204.51.252:9901/tsfile/live/1046_1.m3u8 
新疆卫视,http://218.204.51.252:9901/tsfile/live/1044_1.m3u8 
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8?txSecret=58347f72aece2c25c685b8dc4da74652&txTime=95A66658 

🗼港澳台,#genre#
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://183.207.249.35/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://39.135.55.72:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1#http://117.169.120.138:8080/live/fhchinese/index.m3u8#https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8#http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8?zgangd
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8?zgangd
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1#http://117.169.120.138:8080/live/fhzixun/.m3u8#http://117.169.120.138:8080/live/fhzixun/index.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8#http://hk.jilu8.cn/81/index.m3u8
凤凰香港,http://120.84.96.33:808/hls/81/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8#http://120.84.96.32:808/hls/81/index.m3u8#http://183.207.249.34/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.35/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.35:80/PLTV/3/224/3221226975/index.m3u8#http://hk.jilu8.cn/81/index.m3u8#http://www.fdkj.net:9901/tsfile/live/1018_1.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?nsukey=z%2BBfKGEFyh4Fp0aB8zX65Hk%2FyuGRu%2Fcr4cTxr%2Bmmk%2BoDb%2F0zWYZbCxCPjv1Rv3gbKAFnEGidkItbbNfxHvbIQE3YCs8%2B6yymajONrpRyKCPjCYyxRhJg5hMneBwbsvWsOzUhH18%2By1JBzCS0%2Fq2vam7rkPILohuX3UVdt4Gey9FetDXUW5Ck5N4QX2N3QhKrr9Kh%2FuYotUicOdfnQ675Fg%3D%#http://183.207.249.35/PLTV/3/224/3221226975/2020215104547.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?nsukey=z%2BBfKGEFyh4Fp0aB8zX65Hk%2FyuGRu%2Fcr4cTxr%2Bmmk%2BoDb%2F0zWYZbCxCPjv1Rv3gbKAFnEGidkItbbNfxHvbIQE3YCs8%2B6yymajONrpRyKCPjCYyxRhJg5hMneBwbsvWsOzUhH18%2By1JBzCS0%2Fq2vam7rkPILohuX3UVdt4Gey9FetDXUW5Ck5N4QX2N3QhKrr9Kh%2FuYotUicOdfnQ675Fg%3D%3D#http://120.84.96.29:808/hls/81/index.m3u8#http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/2020215104547.m3u8#http://www.fdkj.net:9901/tsfile/live/1018_1.m3u8#http://120.84.96.29:808/hls/81/index.m3u8#http://120.84.96.32:808/hls/81/index.m3u8#http://120.84.96.33:808/hls/81/index.m3u8#http://183.207.249.35:80/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.35/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.34/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8#http://hk.jilu8.cn/81/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?nsukey=z%2BBfKGEFyh4Fp0aB8zX65Hk%2FyuGRu%2Fcr4cTxr%2Bmmk%2BoDb%2F0zWYZbCxCPjv1Rv3gbKAFnEGidkItbbNfxHvbIQE3YCs8%2B6yymajONrpRyKCPjCYyxRhJg5hMneBwbsvWsOzUhH18%2By1JBzCS0%2Fq2vam7rkPILohuX3UVdt4Gey9FetDXUW5Ck5N4QX2N3QhKrr9Kh%2FuYotUicOdfnQ675Fg%3D%3D#http://liuy.usa7.20212021.ga/ns.php?id=98#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?nsukey=z%2BBfKGEFyh4Fp0aB8zX65Hk%2FyuGRu%2Fcr4cTxr%2Bmmk%2BoDb%2F0zWYZbCxCPjv1Rv3gbKAFnEGidkItbbNfxHvbIQE3YCs8%2B6yymajONrpRyKCPjCYyxRhJg5hMneBwbsvWsOzUhH18%2By1JBzCS0%2Fq2vam7rkPILohuX3UVdt4Gey9FetDXUW5Ck5N4QX2N3QhKrr9Kh%2FuYotUicOdfnQ675Fg%3D%#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8#http://120.84.96.32:808/hls/81/index.m3u8 
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8#http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
凤凰卫视,http://117.169.120.138:8080/live/fhchinese/.m3u8#http://117.169.120.138:8080/live/fhchinese/index.m3u8#http://gxfrg007.8800.org:8282/tsfile/live/1064_1.m3u8#http://117.169.120.138:8080/live/fhchinese/index.m3u8#http://117.169.120.138:8080/live/fhchinese/.m3u8
翡翠台，http://120.84.96.226:808/hls/25/index.m3u8
翡翠台，http://113.64.147.49:808/hls/67/index.m3u8
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
明珠台,http://kkmix1.f3322.net:825/hls/ch1/s.m3u8
明珠台,http://qwas.eatuo.com:9901/tsfile/live/1014_1.m3u8
明珠台,http://120.84.96.32:808/hls/26/index.m3u8
明珠台,http://radius.8866.org:880/hls/84/index.m3u8
星河台,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
J1,https://bcovlive-a.akamaihd.net/f23dfe49b06b45d8878b55b4b6909595/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
J2,https://aaaaa.pejian.com:443/xgj2/xgj2app.m3u8
J2,https://bf.kanjc.com/11666/11666.m3u8
J2,https://h.youtalk.top/hkj2b/49.m3u8
J2,http://120.84.96.33:808/hls/86/index.m3u8
J2,http://120.84.96.33:808/hls/86/index.m3u8
J2,https://tx-b2.xsafetech.com/live/11666.m3u8
J2,http://120.84.96.32:808/hls/86/index.m3u8
J2,https://aaaaa.pejian.com:443/xgj2/xgj2app.m3u8
香港HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC高清电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
